objekt_id,breitengrad,laengengrad,gemeindebezirk_code,gemeindebezirk_bisher,gemeindebezirk_polygon,zaehlgebiet_code,zaehlbezirk_code,sub_district_code,prognoseregion_code,gebietstyp_code,gebietstyp,aggregierter_gebietstyp_code,aggregierter_gebietstyp,zuordnungsmethode,geometrie_datenstand,anzahl_polygon_treffer,grenzfall,grenznah_unter_1m,grenzdistanz_meter,bezirk_konsistent,zaehlbezirk_konsistent,qualitaetsstatus
18428,48.154313,16.468340,11,11,11,11101,1110,91110,11E,Y,heterogene Bebauung mit Überhang an Geschoßwohnungen,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,100.991,1,1,eindeutig_zugeordnet
18429,48.235211,16.352199,19,19,19,19046,1904,91904,19B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,73.385,1,1,eindeutig_zugeordnet
18430,48.187614,16.328138,15,15,15,15057,1505,91505,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,11.886,1,1,eindeutig_zugeordnet
18431,48.168937,16.375743,10,10,10,10031,1003,91003,10C,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,61.444,1,1,eindeutig_zugeordnet
18432,48.213316,16.353594,8,8,8,08014,0801,90801,8A,A,"Zentrum, Altstadt und Gründerzeit",AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,19.836,1,1,eindeutig_zugeordnet
18433,48.180474,16.372681,10,10,10,10041,1004,91004,10D,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,26.376,1,1,eindeutig_zugeordnet
18434,48.196181,16.309075,14,14,14,14023,1402,91402,14A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,61.398,1,1,eindeutig_zugeordnet
18435,48.156104,16.469577,11,11,11,11101,1110,91110,11E,Y,heterogene Bebauung mit Überhang an Geschoßwohnungen,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,80.442,1,1,eindeutig_zugeordnet
18436,48.194431,16.344316,6,6,6,06034,0603,90603,6A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,5.513,1,1,eindeutig_zugeordnet
18437,48.276817,16.415342,21,21,21,21092,2109,92109,21B,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,25.592,1,1,eindeutig_zugeordnet
18438,48.259342,16.365088,19,19,19,19015,1901,91901,19A,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,21.859,1,1,eindeutig_zugeordnet
18439,48.218208,16.376718,2,2,2,02038,0203,90203,2C,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,46.174,1,1,eindeutig_zugeordnet
18440,48.179673,16.416573,11,11,11,11023,1102,91102,11A,JN,Neubau ab 1991 und Stadterweiterung,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,57.660,1,1,eindeutig_zugeordnet
18441,48.171420,16.365354,10,10,10,10102,1010,91010,10F,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,25.757,1,1,eindeutig_zugeordnet
18442,48.245803,16.338464,19,19,19,19080,1908,91908,19C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,118.182,1,1,eindeutig_zugeordnet
18443,48.155397,16.395614,10,10,10,10160,1016,91016,10J,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,34.096,1,1,eindeutig_zugeordnet
18444,48.178574,16.294495,13,13,13,13070,1307,91307,13A,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,17.544,1,1,eindeutig_zugeordnet
18445,48.226801,16.333400,18,18,18,18031,1803,91803,18B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,74.693,1,1,eindeutig_zugeordnet
18446,48.163311,16.290203,13,13,13,13083,1308,91308,13C,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,65.536,1,1,eindeutig_zugeordnet
18447,48.191068,16.336316,15,15,15,15038,1503,91503,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,14.038,1,1,eindeutig_zugeordnet
18448,48.209268,16.319488,16,16,16,16104,1610,91610,16B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,8.774,1,1,eindeutig_zugeordnet
18449,48.230423,16.355878,9,9,9,09012,0901,90901,9A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,6.678,1,1,eindeutig_zugeordnet
18450,48.134807,16.278595,23,23,23,23112,2311,92311,23E,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,67.787,1,1,eindeutig_zugeordnet
18451,48.239071,16.453782,22,22,22,22160,2216,92216,22E,Y,heterogene Bebauung mit Überhang an Geschoßwohnungen,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,43.873,1,1,eindeutig_zugeordnet
18452,48.211995,16.421489,2,2,2,02096,0209,90209,2E,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,52.812,1,1,eindeutig_zugeordnet
18454,48.291597,16.385439,21,21,21,21141,2114,92114,21E,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,45.225,1,1,eindeutig_zugeordnet
18455,48.193194,16.272334,14,14,14,14067,1406,91406,14B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,55.858,1,1,eindeutig_zugeordnet
18456,48.219409,16.327150,17,17,17,17020,1702,91702,17A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,42.243,1,1,eindeutig_zugeordnet
18457,48.197440,16.408214,3,3,3,03104,0310,90310,3D,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,90.395,1,1,eindeutig_zugeordnet
18453,48.127112,16.313459,23,23,23,23051,2305,92305,23C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,167.207,1,1,eindeutig_zugeordnet
18536,48.168484,16.413397,11,11,11,11038,1103,91103,11B,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,124.926,1,1,eindeutig_zugeordnet
18537,48.205673,16.262188,14,14,14,14100,1410,91410,14E,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,246.481,1,1,eindeutig_zugeordnet
18538,48.201649,16.342753,7,7,7,07048,0704,90704,7B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,11.438,1,1,eindeutig_zugeordnet
18539,48.155047,16.364108,10,10,10,10134,1013,91013,10H,T,Reihenhäuser,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,28.050,1,1,eindeutig_zugeordnet
18540,48.171788,16.338660,12,12,12,12032,1203,91203,12D,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,68.019,1,1,eindeutig_zugeordnet
18542,48.216285,16.306362,16,16,16,16064,1606,91606,16D,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,54.222,1,1,eindeutig_zugeordnet
18543,48.207355,16.351952,8,8,8,08028,0802,90802,8A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,68.654,1,1,eindeutig_zugeordnet
18544,48.203742,16.326663,15,15,15,15011,1501,91501,15A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,32.717,1,1,eindeutig_zugeordnet
