Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_0;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REF_DATE
AT1;AT13;AT130;90200;90204;6923;14408;14399;9;9;3214;3824;5760;1601;125;209;1534;11635;905;125;477;1619;11033;1154;125;1117;2465;5742;3681;1278;125;594;2682;2476;1387;1890;1976;578;2700;125;344;1428;1757;3366;2380;2660;1378;970;125;13283;1000;0;0;8605;272;1921;1648;864;587;201;89;221;7098;7310;8880;1104;1119;908;288;2109;7832;4800;682;1094;2129;4355;3740;4184;6916;721;2129;2277;861;1504;16;631;6832;50;6879;9823;4460;116;9;0;20211031
AT1;AT13;AT130;90200;90205;4617;8985;8979;6;4;2239;2706;3359;677;30;203;1056;7181;515;30;372;1035;6765;783;30;727;1681;3664;2149;734;30;293;1444;1484;728;1328;1428;408;1842;30;219;752;906;2036;1630;1809;928;675;30;8405;540;0;10;5183;93;1047;1627;483;379;61;0;112;4424;4561;5125;768;883;537;139;1533;4800;3002;458;725;1113;2858;2298;2716;4301;473;1113;1581;506;1011;12;412;4225;39;4297;5831;3126;24;4;0;20211031
AT1;AT13;AT130;90200;90206;3956;8477;8463;14;3;2172;2414;3188;700;813;801;747;5822;294;813;417;1011;5737;499;813;794;1598;2856;1780;636;813;194;1181;1588;699;1071;1268;327;1336;813;126;549;935;1740;1476;1597;702;539;813;7321;334;8;1;2765;428;1808;753;146;429;40;90;2018;4270;4207;4964;645;902;505;211;1250;4558;2792;363;764;1054;2626;2473;2324;3937;440;1054;1412;811;823;5;409;3892;26;4145;5210;2861;403;3;0;20211031
AT1;AT13;AT130;90200;90207;6330;12258;12252;6;6;3230;3446;4481;1095;383;143;904;10223;605;383;696;2003;8674;502;383;2313;3075;4642;1602;243;383;394;2048;2420;972;1733;1793;310;2205;383;340;1392;1682;3004;1943;2198;831;485;383;10896;979;0;0;7230;1851;865;1297;327;0;32;112;544;6230;6028;6195;887;1438;1389;355;1994;6761;3840;591;1066;1353;4862;3051;2992;5958;893;1353;1979;820;1255;14;787;5854;46;5557;7396;4479;377;6;0;20211031
AT1;AT13;AT130;90200;90208;1161;2729;2717;12;1;536;762;1121;309;359;926;49;1327;68;359;174;343;1767;86;359;285;454;1177;397;57;359;97;480;544;190;339;339;66;315;359;41;243;343;670;377;423;158;115;359;2272;79;14;5;110;295;53;701;81;154;57;74;1204;1307;1422;1977;87;213;132;50;270;1203;1018;230;278;441;1245;630;413;1150;120;441;704;85;229;4;125;1121;12;1467;1839;648;241;1;0;20211031
AT1;AT13;AT130;90200;90209;7174;15972;15958;14;14;3099;3878;7128;1853;528;60;1108;13893;383;528;717;1971;12373;383;528;1541;3143;7231;3380;149;528;318;3664;3667;1555;1730;2233;328;1949;528;329;1644;2535;4622;2156;2732;816;610;528;15008;436;0;0;2961;1493;2050;2109;3557;890;711;285;1916;7654;8318;9591;527;1354;1480;991;2029;7663;5588;1110;1611;2430;7797;3275;2470;6639;1216;2430;3384;748;1555;2;928;6736;69;8237;11378;4066;514;14;0;20211031
AT1;AT13;AT130;90300;90301;5796;11009;11002;7;7;2787;3476;4294;445;48;201;1253;9045;462;48;462;1297;8112;1090;48;1150;1735;3861;3074;1141;48;178;1332;1969;1047;1666;1882;609;2278;48;164;710;922;2319;2228;2466;1197;955;48;10142;793;0;26;8465;530;548;490;297;434;38;28;179;5348;5661;7119;938;987;594;126;1245;5839;3755;457;958;1269;2957;2972;3811;5776;459;1269;1889;610;1006;19;507;5628;36;4819;7178;3785;39;7;0;20211031
AT1;AT13;AT130;90300;90302;4515;8685;8680;5;3;2147;2724;3426;385;55;164;913;7087;466;55;275;700;6450;1205;55;445;1074;2926;2826;1359;55;100;877;1417;893;1367;1464;530;1982;55;65;342;593;1748;1797;1986;1021;1078;55;8209;421;0;0;5872;390;458;590;806;337;48;0;184;4137;4548;6005;751;554;367;98;910;4372;3139;423;751;985;2019;2515;3166;4320;305;985;1705;507;863;9;341;4216;36;4083;5802;2830;50;3;0;20211031
AT1;AT13;AT130;90300;90303;3276;6474;6466;8;8;1581;1760;2797;328;70;84;616;5390;314;70;231;687;4214;1272;70;459;924;1969;1599;1453;70;70;639;1142;714;936;1081;414;1408;70;69;299;544;1219;1251;1552;699;771;70;6204;200;0;0;3223;879;1312;312;230;50;1;72;395;3046;3428;3943;626;576;251;78;1000;3312;2340;308;514;827;1493;1695;2459;3038;197;827;1117;361;934;15;200;2989;19;3251;4366;2040;60;8;0;20211031
AT1;AT13;AT130;90300;90304;5585;10615;10605;10;7;2781;3178;4004;645;62;103;1638;8020;792;62;617;1616;7656;664;62;1739;2358;4040;1850;566;62;328;1742;1957;862;1658;1679;319;2008;62;310;1074;1362;2335;1946;1985;929;612;62;9684;869;0;0;5136;749;2428;1420;569;105;49;86;73;5219;5396;5448;794;1495;1000;179;1699;5870;3369;482;894;1270;3553;2823;2969;5352;676;1270;1607;616;1094;13;603;5251;44;4704;6518;4038;52;7;0;20211031
