Zuordnung der 250 Wiener Zählbezirke in Prognoseregionen - Wien | Allocation of 250 subdistricts (census districts) to forecast areas - Vienna;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;PRG_CODE
AT13;92300;92307;23C
AT13;92300;92308;23G
AT13;92300;92309;23D
AT13;92300;92310;23D
AT13;92300;92311;23E
AT13;92300;92312;23E
AT13;92300;92313;23F
AT13;92300;92314;23F
AT13;92300;92315;23F
AT13;92300;92316;23F
AT13;92300;92317;23A
AT13;92300;92318;23A
AT13;92300;92319;23G
