Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;EDU_HAB_NAT_0;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REFDAT
AT1;AT13;AT130;90200;90204;6831;16154;14281;1873;1873;3103;3956;5629;1593;2030;212;1835;10898;1179;2030;520;1607;10677;1320;2030;1180;2577;5666;3337;1364;2030;627;2545;2502;1291;1992;1985;566;2616;2030;358;1496;1782;3203;2411;2598;1324;952;2030;12390;683;215;836;10730;315;1716;1589;812;571;225;149;47;8387;7767;9385;867;1213;1321;455;2913;8364;5400;951;1439;4346;6458;2952;2398;6593;864;2398;2653;817;2829;10;745;6532;113;8754;9837;4272;157;1873;15;20111031
AT1;AT13;AT130;90200;90205;4466;8964;8948;16;5;2119;2598;3470;772;168;231;1647;6309;609;168;349;994;6678;775;168;706;1684;3574;2089;743;168;271;1425;1512;830;1282;1334;388;1754;168;183;793;981;1951;1697;1670;877;644;168;7873;365;97;461;5174;75;1083;1570;368;356;206;49;83;4323;4641;5574;512;802;735;202;1139;4183;3378;595;808;1974;3932;1880;1178;3921;334;1178;1888;542;1101;11;445;3745;47;4716;5870;2927;150;5;12;20111031
AT1;AT13;AT130;90200;90206;3336;6451;6434;17;3;1585;2028;2489;346;109;581;863;4580;318;109;316;776;4783;467;109;738;1389;2339;1348;528;109;147;822;1206;618;934;1036;363;1216;109;125;485;697;1484;1189;1274;604;484;109;5767;252;80;243;2477;332;1925;682;207;494;51;94;189;3067;3384;4641;271;520;446;156;417;2728;2418;547;758;1489;3037;1129;796;2790;293;796;1565;322;685;1;348;2700;34;3368;4346;2011;91;3;0;20111031
AT1;AT13;AT130;90200;90207;6682;12714;12686;28;28;3371;3634;4997;684;28;203;1224;10510;749;28;834;2160;9228;464;28;2839;3371;4784;1484;208;28;538;2416;2506;918;1827;1874;310;2297;28;600;1746;1720;3056;1911;2272;877;504;28;10010;606;362;1708;7701;1937;914;1219;368;0;16;70;489;6309;6405;6947;626;1274;1939;615;1313;6041;4540;830;1303;3650;5521;1833;1710;5554;744;1710;2346;766;1594;11;867;5326;76;6434;8140;4535;0;28;11;20111031
AT1;AT13;AT130;90200;90208;914;2009;1999;10;1;371;680;683;274;168;509;32;1203;97;168;168;216;1364;93;168;280;457;898;157;49;168;72;351;331;136;315;304;68;264;168;62;258;294;392;313;338;118;66;168;1688;64;52;37;105;335;54;698;91;137;47;67;475;924;1085;1526;55;116;138;36;138;730;825;215;239;538;1074;147;250;781;102;250;650;62;164;2;103;763;11;1130;1380;470;158;1;0;20111031
AT1;AT13;AT130;90200;90209;7038;15962;15935;27;27;2787;4170;7181;1797;468;158;915;13969;452;468;823;1875;12444;352;468;1762;3249;7123;3231;129;468;496;3527;3574;1642;1850;2314;334;1757;468;425;1809;2637;4365;2374;2587;747;550;468;14153;267;190;884;3266;1570;1982;2110;3605;907;539;511;1472;7597;8365;10322;349;1154;1591;1009;1537;7046;6041;1186;1689;4904;6807;1484;2767;6346;932;2767;3450;702;1765;8;955;6155;139;8705;11774;3719;441;27;1;20111031
AT1;AT13;AT130;90200;90210;1;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;1;1;0;0;1;1;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;20111031
AT1;AT13;AT130;90300;90301;5620;10874;10867;7;5;2637;3378;4412;442;55;195;1264;8820;540;55;502;1212;8028;1077;55;1179;1719;3704;3076;1141;55;291;1275;1861;1094;1667;1896;614;2121;55;236;650;1019;2308;2166;2432;1136;872;55;9369;471;186;793;8379;493;499;537;334;486;84;57;5;5220;5654;7547;708;803;817;200;799;5259;3971;601;1043;1952;4832;2764;1326;5375;435;1326;2030;612;1096;8;522;5207;69;5068;7253;3561;48;5;7;20111031
AT1;AT13;AT130;90300;90302;4321;8495;8488;7;5;2022;2556;3421;491;120;158;927;6779;511;120;246;627;6206;1296;120;443;1006;2809;2680;1437;120;119;820;1346;909;1307;1407;549;1918;120;65;292;643;1710;1673;1988;962;1042;120;7696;376;114;189;5841;420;473;567;679;222;174;1;118;3995;4500;6294;601;491;445;70;594;3927;3256;547;765;1250;3896;2342;1007;4067;258;1007;1751;516;896;9;354;3912;44;4176;5755;2614;113;5;8;20111031
AT1;AT13;AT130;90300;90303;2942;5934;5930;4;4;1397;1550;2585;398;84;109;556;4779;406;84;217;470;3917;1246;84;401;781;1754;1543;1371;84;89;576;985;679;917;911;342;1351;84;48;307;392;1301;1099;1274;699;730;84;5495;198;49;108;3242;819;1197;246;224;41;10;70;85;2739;3195;4072;505;408;272;56;621;2742;2219;392;581;905;2511;1753;765;2607;173;765;1201;350;838;13;209;2530;25;3157;4016;1825;80;4;9;20111031
