objekt_id,hofname,adresse,bezirk,bild_titel,zuordnungssicherheit,entfernung_m,quellseite_url,vorschaubild_url,fotograf,lizenz,lizenz_url,aufnahmedatum,begruendung
18740,Leopoldine-Glöckel-Hof,Steinbauergasse 1-7,12,File:Wien12 Steinbauergasse001-7 2018-03-15 GuentherZ GD GlöckelL 0950.jpg,0.60,70.9,https://commons.wikimedia.org/wiki/File:Wien12_Steinbauergasse001-7_2018-03-15_GuentherZ_GD_Gl%C3%B6ckelL_0950.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Wien12_Steinbauergasse001-7_2018-03-15_GuentherZ_GD_Gl%C3%B6ckelL_0950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GuentherZ,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2018-03-15 17:27:29,Straße & Hausnummer 'steinbauergasse 1' im Bildtext (+0.35) | Sehr gute Geodistanz (71m <= 90m) (+0.25)
18815,Josef-Illedits-Hof,Kärchergasse 3-13,3,File:Wien03 Kärchergasse003-13 GD Uhlir 2019-01-25 GuentherZ 3996.jpg,0.70,45.6,https://commons.wikimedia.org/wiki/File:Wien03_K%C3%A4rchergasse003-13_GD_Uhlir_2019-01-25_GuentherZ_3996.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Wien03_K%C3%A4rchergasse003-13_GD_Uhlir_2019-01-25_GuentherZ_3996.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GuentherZ,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2019-01-25 16:39:16,Straße & Hausnummer 'kärchergasse 3' im Bildtext (+0.35) | Sehr gute Geodistanz (46m <= 90m) (+0.25) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18816,HARKORTSTRASSE 3,Harkortstraße 3,2,File:Wien 02 Haus Harkortstraße 3 f.jpg,0.65,10.8,https://commons.wikimedia.org/wiki/File:Wien_02_Haus_Harkortstra%C3%9Fe_3_f.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Wien_02_Haus_Harkortstra%C3%9Fe_3_f.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2022-01-14 11:30:24,Straße & Hausnummer 'harkortstraße 3' im Bildtext (+0.35) | Hervorragende Geodistanz (11m <= 40m) (+0.30)
18908,PARADISGASSE 62,Grinzinger Allee 19,19,File:Wien-wiener-linien-sl-38-1058311.jpg,0.60,52.3,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-38-1058311.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Wien-wiener-linien-sl-38-1058311.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2017-10-19 14:52:58,Straße & Hausnummer 'grinzinger allee 19' im Bildtext (+0.35) | Sehr gute Geodistanz (52m <= 90m) (+0.25)
18743,STACHEGASSE 1-3,Stachegasse 1-3,12,"File:Stachegasse 1, Vienna.jpg",0.75,18.1,"https://commons.wikimedia.org/wiki/File:Stachegasse_1,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/2/20/Stachegasse_1%2C_Vienna.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-08-21 12:48:22,Straße & Hausnummer 'stachegasse 1' im Bildtext (+0.35) | Hervorragende Geodistanz (18m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18744,PRESSGASSE 7,Preßgasse 7,4,"File:Preßgasse 7, Vienna.jpg",0.75,1.9,"https://commons.wikimedia.org/wiki/File:Pre%C3%9Fgasse_7,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0f/Pre%C3%9Fgasse_7%2C_Vienna.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-08-02 15:46:19,Straße & Hausnummer 'preßgasse 7' im Bildtext (+0.35) | Hervorragende Geodistanz (2m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
19073,ROSA-JOCHMANN-RING 1,Rosa-Jochmann-Ring 1,11,File:Wien-wiener-linien-sl-11-1181851.jpg,0.60,71.8,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-11-1181851.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Wien-wiener-linien-sl-11-1181851.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2019-11-29 17:19:01,Straße & Hausnummer 'rosa-jochmann-ring 1' im Bildtext (+0.35) | Sehr gute Geodistanz (72m <= 90m) (+0.25)
19082,MOOSBRUGGERGASSE 1,Moosbruggergasse 1,12,"File:Mural Telepathy by Nut, 2026-01-23.jpg",0.60,45.9,"https://commons.wikimedia.org/wiki/File:Mural_Telepathy_by_Nut,_2026-01-23.jpg",https://upload.wikimedia.org/wikipedia/commons/3/32/Mural_Telepathy_by_Nut%2C_2026-01-23.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Skunk,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-01-23 14:59:45,Straße & Hausnummer 'moosbruggergasse 1' im Bildtext (+0.35) | Sehr gute Geodistanz (46m <= 90m) (+0.25)
19084,MARGARETENSTRASSE 46,Margaretenstraße 46,4,File:Margaretenstrasse 41-43.jpg,0.65,28.1,https://commons.wikimedia.org/wiki/File:Margaretenstrasse_41-43.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Margaretenstrasse_41-43.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Ricardalovesmonuments,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"19 May 2018 (according to <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Exif"" class=""extiw"" title=""en:Exif"">Exif</a></span> data)",Straße & Hausnummer 'margaretenstraße 46' im Bildtext (+0.35) | Hervorragende Geodistanz (28m <= 40m) (+0.30)
19086,FLURSCHUETZSTRASSE 26,Flurschützstraße 26,12,File:Flurschützstraße 26 (02).jpg,0.75,28.5,https://commons.wikimedia.org/wiki/File:Flursch%C3%BCtzstra%C3%9Fe_26_(02).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Flursch%C3%BCtzstra%C3%9Fe_26_%2802%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-03-10 14:16:47,Straße & Hausnummer 'flurschützstraße 26' im Bildtext (+0.35) | Hervorragende Geodistanz (28m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
